@ NAME             %19s "TRACK.OBS0002.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.09.03 Darwin 64"
@ DATE             %08s "26/06/24"
@ TIME             %08s "17.26.05"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1          1      0.06006530147     0.007481794171      0.03172851347   -4.266384498e-05                  0                  0        8.047186378        140.3052687
          1          2      0.06812482824    -0.006163743978      0.02443675166      0.00202600423                  0                  0        8.047186378        140.3052687
          1          3     -0.03130925408      -0.0100835441     0.005443871013     0.003126135402                  0                  0        8.047186378        140.3052687
          1          4     -0.08134166292     0.001906043342     -0.01627590758     0.002708799414                  0                  0        8.047186378        140.3052687
          1          5    -0.003032806755      0.01088861631     -0.03013333996    0.0009810836731                  0                  0        8.047186378        140.3052687
          1          6       0.0800526668     0.002690829343     -0.02934004658    -0.001214494353                  0                  0        8.047186378        140.3052687
          1          7      0.03683801959    -0.009752664316     -0.01444270188    -0.002826283873                  0                  0        8.047186378        140.3052687
          1          8     -0.06450774339    -0.006807911835     0.007399625418    -0.003077357976                  0                  0        8.047186378        140.3052687
          1          9      -0.0640737844     0.006877451101      0.02580259282    -0.001831112886                  0                  0        8.047186378        140.3052687
          1         10      0.03745730292     0.009712572686      0.03160152599    0.0002930129886                  0                  0        8.047186378        140.3052687
          1         11      0.07988309455     -0.00277786824      0.02215951661     0.002273214123                  0                  0        8.047186378        140.3052687
          1         12    -0.003732631667     -0.01088478002     0.002091974734     0.003164456208                  0                  0        8.047186378        140.3052687
          1         13     -0.08145829744    -0.001818020037     -0.01908690339     0.002518180129                  0                  0        8.047186378        140.3052687
          1         14      -0.0306626572      0.01011721622     -0.03103019805    0.0006553956569                  0                  0        8.047186378        140.3052687
          1         15      0.06850862225     0.006089467439     -0.02788784803    -0.001517755165                  0                  0        8.047186378        140.3052687
          1         16      0.05959180863    -0.007546540805     -0.01137159576    -0.002962494956                  0                  0        8.047186378        140.3052687
          1         17     -0.04335977026    -0.009275245813       0.0106448212    -0.002978969397                  0                  0        8.047186378        140.3052687
          1         18     -0.07789423881     0.003629753812      0.02763172239    -0.001545142097                  0                  0        8.047186378        140.3052687
          1         19       0.0104712933      0.01080862269      0.03111909061    0.0006253506803                  0                  0        8.047186378        140.3052687
          1         20      0.08230871148    0.0009324758707      0.01963389629     0.002495040631                  0                  0        8.047186378        140.3052687
          1         21      0.02428270408     -0.01041421781    -0.001287965286     0.003166370565                  0                  0        8.047186378        140.3052687
          1         22      -0.0720607519    -0.005329780378     -0.02168079802     0.002299175176                  0                  0        8.047186378        140.3052687
          1         23     -0.05470909468     0.008163837398     -0.03157064062    0.0003224417056                  0                  0        8.047186378        140.3052687
          1         24      0.04896255265     0.008776799656     -0.02612341541    -0.001803948678                  0                  0        8.047186378        140.3052687
          1         25      0.07538115239    -0.004458892354    -0.008172626846    -0.003065322198                  0                  0        8.047186378        140.3052687
          1         26     -0.01714441429     -0.01065888165      0.01377638378      -0.0028461644                  0                  0        8.047186378        140.3052687
          1         27     -0.08261325536   -4.196619599e-05      0.02913947241    -0.001242202215                  0                  0        8.047186378        140.3052687
          1         28     -0.01774050953      0.01064184416      0.03028685171    0.0009507310675                  0                  0        8.047186378        140.3052687
